nohup: 忽略输入
2023-08-01 09:57:39.995945: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-08-01 09:57:40.856128: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
pygame 2.3.0 (SDL 2.24.2, Python 3.8.16)
Hello from the pygame community. https://www.pygame.org/contribute.html
beta_decay:  False
action_n:4
[3 6 6]
256
default
<class 'replays.default_replay.DefaultReplay'>
Random Seed: 666
Exp: obstacle_default	Episode: 1	Step: 0k	Slot Step: 0k	Reward: 0.47	Replay: 211/50000 	Epsilon: 0.9986074000000068 	Epi_step: 211 	Epi_Time: 3.003880500793457 	
Exp: obstacle_default	Episode: 2	Step: 0k	Slot Step: 0k	Reward: 0.51	Replay: 406/50000 	Epsilon: 0.9973204000000131 	Epi_step: 195 	Epi_Time: 4.019727468490601 	
Exp: obstacle_default	Episode: 3	Step: 0k	Slot Step: 0k	Reward: 0	Replay: 766/50000 	Epsilon: 0.9949444000000247 	Epi_step: 360 	Epi_Time: 8.218392610549927 	
Exp: obstacle_default	Episode: 4	Step: 1k	Slot Step: 1k	Reward: 0	Replay: 1126/50000 	Epsilon: 0.9925684000000363 	Epi_step: 360 	Epi_Time: 9.14674425125122 	
Exp: obstacle_default	Episode: 5	Step: 1k	Slot Step: 1k	Reward: 0	Replay: 1486/50000 	Epsilon: 0.9901924000000479 	Epi_step: 360 	Epi_Time: 10.124043703079224 	
Exp: obstacle_default	Episode: 6	Step: 1k	Slot Step: 1k	Reward: 0	Replay: 1846/50000 	Epsilon: 0.9878164000000595 	Epi_step: 360 	Epi_Time: 5.6180784702301025 	
Exp: obstacle_default	Episode: 7	Step: 1k	Slot Step: 1k	Reward: 0.73	Replay: 1952/50000 	Epsilon: 0.987116800000063 	Epi_step: 106 	Epi_Time: 1.7340431213378906 	
Exp: obstacle_default	Episode: 8	Step: 2k	Slot Step: 2k	Reward: 0	Replay: 2312/50000 	Epsilon: 0.9847408000000746 	Epi_step: 360 	Epi_Time: 6.603518724441528 	
Exp: obstacle_default	Episode: 9	Step: 2k	Slot Step: 2k	Reward: 0	Replay: 2672/50000 	Epsilon: 0.9823648000000862 	Epi_step: 360 	Epi_Time: 6.914344072341919 	
Exp: obstacle_default	Episode: 10	Step: 3k	Slot Step: 3k	Reward: 0	Replay: 3032/50000 	Epsilon: 0.9799888000000978 	Epi_step: 360 	Epi_Time: 6.071934700012207 	
Exp: obstacle_default	Episode: 11	Step: 3k	Slot Step: 3k	Reward: 0	Replay: 3392/50000 	Epsilon: 0.9776128000001094 	Epi_step: 360 	Epi_Time: 9.647225141525269 	
Exp: obstacle_default	Episode: 12	Step: 3k	Slot Step: 3k	Reward: 0.4	Replay: 3632/50000 	Epsilon: 0.9760288000001172 	Epi_step: 240 	Epi_Time: 7.491269111633301 	
Exp: obstacle_default	Episode: 13	Step: 3k	Slot Step: 3k	Reward: 0	Replay: 3992/50000 	Epsilon: 0.9736528000001288 	Epi_step: 360 	Epi_Time: 12.033361196517944 	
Exp: obstacle_default	Episode: 14	Step: 4k	Slot Step: 4k	Reward: 0	Replay: 4352/50000 	Epsilon: 0.9712768000001404 	Epi_step: 360 	Epi_Time: 6.380581855773926 	
Exp: obstacle_default	Episode: 15	Step: 4k	Slot Step: 4k	Reward: 0	Replay: 4712/50000 	Epsilon: 0.968900800000152 	Epi_step: 360 	Epi_Time: 12.95021367073059 	
Exp: obstacle_default	Episode: 16	Step: 4k	Slot Step: 4k	Reward: 0.28	Replay: 4999/50000 	Epsilon: 0.9670066000001613 	Epi_step: 287 	Epi_Time: 5.8800437450408936 	
Exp: obstacle_default	Episode: 17	Step: 5k	Slot Step: 5k	Reward: 0	Replay: 5359/50000 	Epsilon: 0.9646306000001729 	Epi_step: 360 	Epi_Time: 6.676119089126587 	
Exp: obstacle_default	Episode: 18	Step: 5k	Slot Step: 5k	Reward: 0	Replay: 5719/50000 	Epsilon: 0.9622546000001845 	Epi_step: 360 	Epi_Time: 12.557726621627808 	
Exp: obstacle_default	Episode: 19	Step: 6k	Slot Step: 6k	Reward: 0	Replay: 6079/50000 	Epsilon: 0.9598786000001961 	Epi_step: 360 	Epi_Time: 9.158827066421509 	
Exp: obstacle_default	Episode: 20	Step: 6k	Slot Step: 6k	Reward: 0.95	Replay: 6098/50000 	Epsilon: 0.9597532000001967 	Epi_step: 19 	Epi_Time: 0.6652252674102783 	
Exp: obstacle_default	Episode: 21	Step: 6k	Slot Step: 6k	Reward: 0	Replay: 6458/50000 	Epsilon: 0.9573772000002083 	Epi_step: 360 	Epi_Time: 6.756985664367676 	
Exp: obstacle_default	Episode: 22	Step: 6k	Slot Step: 6k	Reward: 0	Replay: 6818/50000 	Epsilon: 0.9550012000002199 	Epi_step: 360 	Epi_Time: 6.976964235305786 	
Exp: obstacle_default	Episode: 23	Step: 7k	Slot Step: 7k	Reward: 0	Replay: 7178/50000 	Epsilon: 0.9526252000002315 	Epi_step: 360 	Epi_Time: 7.57252049446106 	
Exp: obstacle_default	Episode: 24	Step: 7k	Slot Step: 7k	Reward: 0	Replay: 7538/50000 	Epsilon: 0.9502492000002432 	Epi_step: 360 	Epi_Time: 6.014827251434326 	
Exp: obstacle_default	Episode: 25	Step: 7k	Slot Step: 7k	Reward: 0	Replay: 7898/50000 	Epsilon: 0.9478732000002548 	Epi_step: 360 	Epi_Time: 5.213212251663208 	
Exp: obstacle_default	Episode: 26	Step: 8k	Slot Step: 8k	Reward: 0	Replay: 8258/50000 	Epsilon: 0.9454972000002664 	Epi_step: 360 	Epi_Time: 8.077146291732788 	
Exp: obstacle_default	Episode: 27	Step: 8k	Slot Step: 8k	Reward: 0.22	Replay: 8570/50000 	Epsilon: 0.9434380000002764 	Epi_step: 312 	Epi_Time: 6.432913303375244 	
Exp: obstacle_default	Episode: 28	Step: 8k	Slot Step: 8k	Reward: 0.87	Replay: 8622/50000 	Epsilon: 0.9430948000002781 	Epi_step: 52 	Epi_Time: 0.9038751125335693 	
Exp: obstacle_default	Episode: 29	Step: 8k	Slot Step: 8k	Reward: 0.89	Replay: 8666/50000 	Epsilon: 0.9428044000002795 	Epi_step: 44 	Epi_Time: 1.2965383529663086 	
Exp: obstacle_default	Episode: 30	Step: 8k	Slot Step: 8k	Reward: 0.9	Replay: 8707/50000 	Epsilon: 0.9425338000002809 	Epi_step: 41 	Epi_Time: 1.3080039024353027 	
Exp: obstacle_default	Episode: 31	Step: 9k	Slot Step: 9k	Reward: 0.25	Replay: 9006/50000 	Epsilon: 0.9405604000002905 	Epi_step: 299 	Epi_Time: 5.698014736175537 	
Exp: obstacle_default	Episode: 32	Step: 9k	Slot Step: 9k	Reward: 0.8	Replay: 9086/50000 	Epsilon: 0.9400324000002931 	Epi_step: 80 	Epi_Time: 2.1385390758514404 	
Exp: obstacle_default	Episode: 33	Step: 9k	Slot Step: 9k	Reward: 0.59	Replay: 9249/50000 	Epsilon: 0.9389566000002983 	Epi_step: 163 	Epi_Time: 4.185918807983398 	
Exp: obstacle_default	Episode: 34	Step: 9k	Slot Step: 9k	Reward: 0	Replay: 9609/50000 	Epsilon: 0.93658060000031 	Epi_step: 360 	Epi_Time: 10.24527621269226 	
Exp: obstacle_default	Episode: 35	Step: 9k	Slot Step: 9k	Reward: 0.64	Replay: 9755/50000 	Epsilon: 0.9356170000003147 	Epi_step: 146 	Epi_Time: 3.354541540145874 	
Exp: obstacle_default	Episode: 36	Step: 10k	Slot Step: 10k	Reward: 0.16	Replay: 10089/50000 	Epsilon: 0.9334126000003254 	Epi_step: 334 	Epi_Time: 7.108513116836548 	
Exp: obstacle_default	Episode: 37	Step: 10k	Slot Step: 10k	Reward: 0.29	Replay: 10373/50000 	Epsilon: 0.9315382000003346 	Epi_step: 284 	Epi_Time: 5.124196290969849 	
Exp: obstacle_default	Episode: 38	Step: 10k	Slot Step: 10k	Reward: 0	Replay: 10733/50000 	Epsilon: 0.9291622000003462 	Epi_step: 360 	Epi_Time: 9.211626052856445 	
Exp: obstacle_default	Episode: 39	Step: 11k	Slot Step: 11k	Reward: 0.18	Replay: 11060/50000 	Epsilon: 0.9270040000003568 	Epi_step: 327 	Epi_Time: 7.787097930908203 	
Exp: obstacle_default	Episode: 40	Step: 11k	Slot Step: 11k	Reward: 0	Replay: 11420/50000 	Epsilon: 0.9246280000003684 	Epi_step: 360 	Epi_Time: 8.166348457336426 	
Exp: obstacle_default	Episode: 41	Step: 11k	Slot Step: 11k	Reward: 0.62	Replay: 11571/50000 	Epsilon: 0.9236314000003732 	Epi_step: 151 	Epi_Time: 5.180951356887817 	
Exp: obstacle_default	Episode: 42	Step: 11k	Slot Step: 11k	Reward: 0	Replay: 11931/50000 	Epsilon: 0.9212554000003849 	Epi_step: 360 	Epi_Time: 7.228296995162964 	
Exp: obstacle_default	Episode: 43	Step: 12k	Slot Step: 12k	Reward: 0	Replay: 12291/50000 	Epsilon: 0.9188794000003965 	Epi_step: 360 	Epi_Time: 7.88379430770874 	
Exp: obstacle_default	Episode: 44	Step: 12k	Slot Step: 12k	Reward: 0	Replay: 12651/50000 	Epsilon: 0.9165034000004081 	Epi_step: 360 	Epi_Time: 7.340707302093506 	
Exp: obstacle_default	Episode: 45	Step: 13k	Slot Step: 13k	Reward: 0	Replay: 13011/50000 	Epsilon: 0.9141274000004197 	Epi_step: 360 	Epi_Time: 10.895350933074951 	
Exp: obstacle_default	Episode: 46	Step: 13k	Slot Step: 13k	Reward: 0	Replay: 13371/50000 	Epsilon: 0.9117514000004313 	Epi_step: 360 	Epi_Time: 5.443219423294067 	
Exp: obstacle_default	Episode: 47	Step: 13k	Slot Step: 13k	Reward: 0	Replay: 13731/50000 	Epsilon: 0.9093754000004429 	Epi_step: 360 	Epi_Time: 6.118508577346802 	
Exp: obstacle_default	Episode: 48	Step: 13k	Slot Step: 13k	Reward: 0.62	Replay: 13884/50000 	Epsilon: 0.9083656000004479 	Epi_step: 153 	Epi_Time: 3.693629264831543 	
